household_id,snapshot_date,risk_score,risk_rank,top_05_flag,top_10_flag,top_20_flag
1538,2017-11-30 23:59:59,0.6376290627896795,1,True,True,True
252,2017-11-30 23:59:59,0.6140901782766987,2,True,True,True
1262,2017-11-30 23:59:59,0.595264075725699,3,True,True,True
1343,2017-11-30 23:59:59,0.5947516672081349,4,True,True,True
2383,2017-11-30 23:59:59,0.5840205663609584,5,True,True,True
635,2017-11-30 23:59:59,0.5821716832035895,6,True,True,True
226,2017-11-30 23:59:59,0.5818270215232382,7,True,True,True
173,2017-11-30 23:59:59,0.5794501470513056,8,True,True,True
1523,2017-11-30 23:59:59,0.5679814822852567,9,True,True,True
1855,2017-11-30 23:59:59,0.562697350589552,10,True,True,True
120,2017-11-30 23:59:59,0.5591756415990929,11,True,True,True
89,2017-11-30 23:59:59,0.5526371594301697,12,True,True,True
1893,2017-11-30 23:59:59,0.5479052830312049,13,True,True,True
2166,2017-11-30 23:59:59,0.5467166781079187,14,True,True,True
54,2017-11-30 23:59:59,0.5442013321562946,15,True,True,True
2384,2017-11-30 23:59:59,0.5435594758899185,16,True,True,True
1144,2017-11-30 23:59:59,0.5428018687011948,17,True,True,True
1915,2017-11-30 23:59:59,0.5408641288861322,18,True,True,True
1101,2017-11-30 23:59:59,0.5384723796632405,19,True,True,True
2463,2017-11-30 23:59:59,0.5372814595458383,20,True,True,True
958,2017-11-30 23:59:59,0.5346251018472198,21,True,True,True
2164,2017-11-30 23:59:59,0.5329302362944652,22,True,True,True
1441,2017-11-30 23:59:59,0.5280612614068736,23,True,True,True
1026,2017-11-30 23:59:59,0.5274051075522221,24,True,True,True
1516,2017-11-30 23:59:59,0.5245453179425453,25,True,True,True
839,2017-11-30 23:59:59,0.5221970263781702,26,True,True,True
96,2017-11-30 23:59:59,0.5194959921426858,27,True,True,True
1036,2017-11-30 23:59:59,0.5170383043981349,28,True,True,True
990,2017-11-30 23:59:59,0.5135493099983484,29,True,True,True
1095,2017-11-30 23:59:59,0.5126273610771729,30,True,True,True
323,2017-11-30 23:59:59,0.5098715708613649,31,True,True,True
780,2017-11-30 23:59:59,0.5094427872882424,32,True,True,True
1496,2017-11-30 23:59:59,0.5074248047804168,33,True,True,True
234,2017-11-30 23:59:59,0.5072126219477923,34,True,True,True
1162,2017-11-30 23:59:59,0.5054704160425498,35,True,True,True
2202,2017-11-30 23:59:59,0.5053514450922817,36,True,True,True
1342,2017-11-30 23:59:59,0.5037902805101478,37,True,True,True
2219,2017-11-30 23:59:59,0.5023517210616055,38,True,True,True
368,2017-11-30 23:59:59,0.5016814231209271,39,True,True,True
1044,2017-11-30 23:59:59,0.5012108428885014,40,True,True,True
2458,2017-11-30 23:59:59,0.4991224750044674,41,True,True,True
1341,2017-11-30 23:59:59,0.49793579135577026,42,True,True,True
559,2017-11-30 23:59:59,0.4977289381278332,43,True,True,True
2476,2017-11-30 23:59:59,0.49692833078589815,44,True,True,True
399,2017-11-30 23:59:59,0.4952932312237348,45,True,True,True
478,2017-11-30 23:59:59,0.49417838600436925,46,True,True,True
704,2017-11-30 23:59:59,0.4929591427620764,47,True,True,True
2061,2017-11-30 23:59:59,0.4921803471146375,48,True,True,True
255,2017-11-30 23:59:59,0.4921081598541717,49,True,True,True
2304,2017-11-30 23:59:59,0.4889470452716009,50,True,True,True
1789,2017-11-30 23:59:59,0.4879071287348169,51,True,True,True
1322,2017-11-30 23:59:59,0.48746322358796645,52,True,True,True
995,2017-11-30 23:59:59,0.48712404698488093,53,True,True,True
2105,2017-11-30 23:59:59,0.485994783061208,54,True,True,True
1670,2017-11-30 23:59:59,0.4852289249666702,55,True,True,True
899,2017-11-30 23:59:59,0.4770569520807753,56,True,True,True
2192,2017-11-30 23:59:59,0.4752062357114321,57,True,True,True
1564,2017-11-30 23:59:59,0.47511365968830754,58,True,True,True
1442,2017-11-30 23:59:59,0.474732680648996,59,True,True,True
163,2017-11-30 23:59:59,0.4743570353645941,60,True,True,True
629,2017-11-30 23:59:59,0.47292937127106616,61,True,True,True
174,2017-11-30 23:59:59,0.47109518470371464,62,True,True,True
767,2017-11-30 23:59:59,0.47067324472400696,63,True,True,True
179,2017-11-30 23:59:59,0.4695403742325435,64,True,True,True
1601,2017-11-30 23:59:59,0.46941003275154014,65,True,True,True
2136,2017-11-30 23:59:59,0.46927902440790387,66,True,True,True
1063,2017-11-30 23:59:59,0.468413415547494,67,True,True,True
2212,2017-11-30 23:59:59,0.4675715032728408,68,True,True,True
774,2017-11-30 23:59:59,0.4659337190284299,69,True,True,True
2106,2017-11-30 23:59:59,0.46088707511758986,70,True,True,True
1973,2017-11-30 23:59:59,0.4604475562937091,71,True,True,True
1381,2017-11-30 23:59:59,0.4600373074293453,72,True,True,True
2495,2017-11-30 23:59:59,0.4595663266535347,73,True,True,True
1986,2017-11-30 23:59:59,0.45840855176684775,74,True,True,True
634,2017-11-30 23:59:59,0.4576947430183654,75,True,True,True
1090,2017-11-30 23:59:59,0.45709240803002427,76,True,True,True
834,2017-11-30 23:59:59,0.4558029372684549,77,True,True,True
1878,2017-11-30 23:59:59,0.45498020215116364,78,True,True,True
2051,2017-11-30 23:59:59,0.4519089933991516,79,True,True,True
1439,2017-11-30 23:59:59,0.44981192053012603,80,True,True,True
2163,2017-11-30 23:59:59,0.448856052941406,81,True,True,True
1276,2017-11-30 23:59:59,0.44824803357885873,82,True,True,True
835,2017-11-30 23:59:59,0.4482076760092315,83,True,True,True
1533,2017-11-30 23:59:59,0.44788222475651746,84,True,True,True
775,2017-11-30 23:59:59,0.44523235071933187,85,True,True,True
1811,2017-11-30 23:59:59,0.44151498681351986,86,True,True,True
2316,2017-11-30 23:59:59,0.4411208643442753,87,True,True,True
1251,2017-11-30 23:59:59,0.44087126446081604,88,True,True,True
827,2017-11-30 23:59:59,0.4397933781659967,89,True,True,True
2255,2017-11-30 23:59:59,0.43936008217654354,90,True,True,True
2443,2017-11-30 23:59:59,0.4386898367408001,91,True,True,True
261,2017-11-30 23:59:59,0.43655580379441317,92,True,True,True
626,2017-11-30 23:59:59,0.4359058290443428,93,True,True,True
2428,2017-11-30 23:59:59,0.43354183912684513,94,True,True,True
233,2017-11-30 23:59:59,0.4326873361898114,95,True,True,True
2332,2017-11-30 23:59:59,0.4325546106185534,96,True,True,True
2128,2017-11-30 23:59:59,0.4323159670589524,97,True,True,True
1554,2017-11-30 23:59:59,0.4317793876610788,98,True,True,True
1868,2017-11-30 23:59:59,0.43155963909326894,99,True,True,True
50,2017-11-30 23:59:59,0.431255536327352,100,True,True,True
320,2017-11-30 23:59:59,0.4301788800033454,101,True,True,True
2350,2017-11-30 23:59:59,0.4293557159047888,102,True,True,True
1871,2017-11-30 23:59:59,0.4289585763911355,103,True,True,True
584,2017-11-30 23:59:59,0.4288882416702746,104,True,True,True
2155,2017-11-30 23:59:59,0.42841834061314177,105,True,True,True
1034,2017-11-30 23:59:59,0.42811917938948313,106,True,True,True
640,2017-11-30 23:59:59,0.4266631369902038,107,True,True,True
509,2017-11-30 23:59:59,0.42592136141466064,108,True,True,True
38,2017-11-30 23:59:59,0.4251943915934881,109,True,True,True
1079,2017-11-30 23:59:59,0.42333139667769165,110,True,True,True
2103,2017-11-30 23:59:59,0.422521729823388,111,True,True,True
2313,2017-11-30 23:59:59,0.4224761704818628,112,True,True,True
1377,2017-11-30 23:59:59,0.4220015813866285,113,True,True,True
758,2017-11-30 23:59:59,0.42147599913486467,114,True,True,True
1239,2017-11-30 23:59:59,0.42059414152747593,115,True,True,True
1320,2017-11-30 23:59:59,0.4204789874861001,116,True,True,True
645,2017-11-30 23:59:59,0.4186741330598558,117,True,True,True
832,2017-11-30 23:59:59,0.41836403140384043,118,False,True,True
502,2017-11-30 23:59:59,0.41829225801864833,119,False,True,True
917,2017-11-30 23:59:59,0.4175347141080347,120,False,True,True
1532,2017-11-30 23:59:59,0.415566418928297,121,False,True,True
1539,2017-11-30 23:59:59,0.41518839720116907,122,False,True,True
439,2017-11-30 23:59:59,0.4150267246506486,123,False,True,True
2175,2017-11-30 23:59:59,0.41425767834709726,124,False,True,True
2469,2017-11-30 23:59:59,0.4132422550965099,125,False,True,True
488,2017-11-30 23:59:59,0.41249844125046875,126,False,True,True
2032,2017-11-30 23:59:59,0.41194709192380635,127,False,True,True
1043,2017-11-30 23:59:59,0.41162592092190753,128,False,True,True
1725,2017-11-30 23:59:59,0.41135629460979506,129,False,True,True
1842,2017-11-30 23:59:59,0.4113388811715376,130,False,True,True
169,2017-11-30 23:59:59,0.40945899696959953,131,False,True,True
452,2017-11-30 23:59:59,0.40911965118440075,132,False,True,True
1100,2017-11-30 23:59:59,0.40907120308883244,133,False,True,True
2403,2017-11-30 23:59:59,0.4089004398232627,134,False,True,True
2025,2017-11-30 23:59:59,0.4081414960039847,135,False,True,True
504,2017-11-30 23:59:59,0.4078613786641717,136,False,True,True
1741,2017-11-30 23:59:59,0.4077490484264119,137,False,True,True
828,2017-11-30 23:59:59,0.40716566266022786,138,False,True,True
1654,2017-11-30 23:59:59,0.406729047033416,139,False,True,True
1482,2017-11-30 23:59:59,0.40597723734395286,140,False,True,True
