store_id,dept_id,state_id,d,date,forecast_horizon,actual,prediction,error
CA_1,FOODS_1,CA,d_1914,2016-04-25,1,294.0,260.00363521935685,-33.99636478064315
CA_1,FOODS_1,CA,d_1915,2016-04-26,2,259.0,257.97972058741766,-1.0202794125823402
CA_1,FOODS_1,CA,d_1916,2016-04-27,3,268.0,282.305536568364,14.305536568364005
CA_1,FOODS_1,CA,d_1917,2016-04-28,4,328.0,284.93511797028964,-43.06488202971036
CA_1,FOODS_1,CA,d_1918,2016-04-29,5,387.0,347.99429032077285,-39.00570967922715
CA_1,FOODS_1,CA,d_1919,2016-04-30,6,455.0,375.2980554298477,-79.7019445701523
CA_1,FOODS_1,CA,d_1920,2016-05-01,7,403.0,344.5545284963214,-58.44547150367862
CA_1,FOODS_1,CA,d_1921,2016-05-02,8,262.0,280.03527591414326,18.035275914143256
CA_1,FOODS_1,CA,d_1922,2016-05-03,9,332.0,279.071236151888,-52.928763848112
CA_1,FOODS_1,CA,d_1923,2016-05-04,10,272.0,270.770207792609,-1.2297922073909717
CA_1,FOODS_1,CA,d_1924,2016-05-05,11,311.0,264.92798138013563,-46.072018619864366
CA_1,FOODS_1,CA,d_1925,2016-05-06,12,424.0,320.4742263861575,-103.52577361384249
CA_1,FOODS_1,CA,d_1926,2016-05-07,13,474.0,374.2248428807283,-99.77515711927168
CA_1,FOODS_1,CA,d_1927,2016-05-08,14,320.0,297.80268206777606,-22.19731793222394
CA_1,FOODS_1,CA,d_1928,2016-05-09,15,298.0,273.2863633684863,-24.71363663151368
CA_1,FOODS_1,CA,d_1929,2016-05-10,16,326.0,271.1554965044498,-54.844503495550214
CA_1,FOODS_1,CA,d_1930,2016-05-11,17,279.0,265.5655575601434,-13.434442439856582
CA_1,FOODS_1,CA,d_1931,2016-05-12,18,256.0,267.88378047145414,11.883780471454145
CA_1,FOODS_1,CA,d_1932,2016-05-13,19,412.0,321.8084776910649,-90.19152230893508
CA_1,FOODS_1,CA,d_1933,2016-05-14,20,435.0,377.25159008207044,-57.748409917929564
CA_1,FOODS_1,CA,d_1934,2016-05-15,21,415.0,349.2491935718258,-65.7508064281742
CA_1,FOODS_1,CA,d_1935,2016-05-16,22,277.0,268.611436445171,-8.388563554828977
CA_1,FOODS_1,CA,d_1936,2016-05-17,23,302.0,263.1352629510056,-38.864737048994414
CA_1,FOODS_1,CA,d_1937,2016-05-18,24,397.0,263.67170954846324,-133.32829045153676
CA_1,FOODS_1,CA,d_1938,2016-05-19,25,330.0,265.83798992938733,-64.16201007061267
CA_1,FOODS_1,CA,d_1939,2016-05-20,26,310.0,319.87251179857753,9.872511798577534
CA_1,FOODS_1,CA,d_1940,2016-05-21,27,427.0,375.7743287765211,-51.22567122347891
CA_1,FOODS_1,CA,d_1941,2016-05-22,28,334.0,351.25312839393933,17.253128393939335
CA_1,FOODS_2,CA,d_1914,2016-04-25,1,458.0,475.5651803626266,17.56518036262662
CA_1,FOODS_2,CA,d_1915,2016-04-26,2,500.0,425.64905955952497,-74.35094044047503
CA_1,FOODS_2,CA,d_1916,2016-04-27,3,412.0,417.83073261125,5.830732611250028
CA_1,FOODS_2,CA,d_1917,2016-04-28,4,400.0,414.77213541691884,14.772135416918843
CA_1,FOODS_2,CA,d_1918,2016-04-29,5,463.0,457.2093813045681,-5.790618695431874
CA_1,FOODS_2,CA,d_1919,2016-04-30,6,653.0,599.022644030452,-53.97735596954794
CA_1,FOODS_2,CA,d_1920,2016-05-01,7,720.0,709.5693434417636,-10.430656558236365
