block,d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale,prior_sales_mad,prior_sales_robust_scale,anomaly_score,undefined_score_reason,direction,if_score,if_train_p95,if_train_p98,robust_threshold_alert,robust_top5,if_top5,config
development_2,d_1550,2015-04-27,CA_1,FOODS_1,CA,329.0,319.58525671736436,9.41474328263564,28,-20.717127798047244,41.48771421641581,61.50968509725808,66.0,97.85159999999999,0.48987197760871115,,spike,0.43716903021529974,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_1,FOODS_2,CA,449.0,415.3911398563269,33.608860143673155,28,-13.942145869448836,30.649250805880683,45.4405792447987,71.0,105.26459999999999,1.046443659024546,,spike,0.4503037675450219,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_1,FOODS_3,CA,1934.0,1889.169878252684,44.83012174731607,28,-167.18760428338533,103.95540257677885,154.1242798603323,269.5,399.5607,1.375628332037186,,spike,0.5229684711816539,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_1,HOBBIES_1,CA,406.0,433.20326784950805,-27.20326784950805,28,20.554133150188306,54.70478309691356,81.10531141948404,62.0,91.9212,-0.5888319786196337,,drop,0.44186640243113273,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_1,HOBBIES_2,CA,53.0,46.83018738733728,6.169812612662724,28,-9.047656642867008,7.308098933127763,10.83498747825522,6.0,8.8956,1.4044750200283787,,spike,0.4669021287202932,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_1,HOUSEHOLD_1,CA,653.0,648.7106243138422,4.2893756861577685,28,23.239631355876327,60.37177763659383,89.50719752401402,109.5,162.3447,-0.21171767404106653,,drop,0.4532801569701714,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_1,HOUSEHOLD_2,CA,171.0,203.23693858786075,-32.23693858786075,28,21.430435968650087,21.26068903164858,31.521097558322186,25.0,37.065,-1.7025858461055268,,drop,0.4800059214923878,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_2,FOODS_1,CA,315.0,243.75963952468447,71.24036047531553,28,-30.39576318826235,39.23244004806281,58.166015615257926,44.5,65.9757,1.7473454660510905,,spike,0.4838037919209703,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
development_2,d_1550,2015-04-27,CA_2,FOODS_2,CA,158.0,98.51320604481916,59.48679395518084,28,-28.259439582196656,10.547995151364464,15.638457611412955,13.5,20.0151,5.610926327756277,,spike,0.5469755880489258,0.5959794503206236,0.6425273515192853,True,True,True,IF-1
development_2,d_1550,2015-04-27,CA_2,FOODS_3,CA,829.0,776.1478121231859,52.85218787681413,28,-157.65738568322234,104.9622434445937,155.6170221309546,129.0,191.25539999999998,1.3527413047583494,,spike,0.4826389573326895,0.5959794503206236,0.6425273515192853,False,False,False,IF-1
