block,family,magnitude,store_id,dept_id,date,window_position,original_actual_sales,injected_actual_sales,expected_sales,prior_robust_scale,prior_residual_median,prior_sales_robust_scale,score_before,score_after,detected,direction_correct,config,if_score_after,if_score_before,if_score_increase,enters_training_top5pct,enters_training_top2pct,synthetic
anomaly_lockbox,one_day_positive_spike,2,CA_1,FOODS_1,2016-04-26,1,259.0,432.4642,257.97972058741766,52.53165857065065,-25.684189124220666,86.73209999999999,0.5083499981423154,3.810438771271481,True,True,IF-3,0.5575473242322275,0.40636775036730965,0.15117957386491787,False,False,True
anomaly_lockbox,one_day_positive_spike,4,CA_1,FOODS_1,2016-04-26,1,259.0,605.9284,257.97972058741766,52.53165857065065,-25.684189124220666,86.73209999999999,0.5083499981423154,7.112527544400646,True,True,IF-3,0.6555747290446233,0.40636775036730965,0.24920697867731367,True,True,True
anomaly_lockbox,one_day_negative_drop,2,CA_1,FOODS_1,2016-04-27,1,268.0,94.53580000000002,282.305536568364,52.53165857065065,-25.684189124220666,86.73209999999999,0.2166056215520652,-3.0854831515770997,True,True,IF-3,0.5847824725617761,0.399943547134212,0.18483892542756408,True,False,True
anomaly_lockbox,one_day_negative_drop,4,CA_1,FOODS_1,2016-04-27,1,268.0,0.0,282.305536568364,52.53165857065065,-25.684189124220666,86.73209999999999,0.2166056215520652,-4.885079862822326,True,True,IF-3,0.6288676765237469,0.399943547134212,0.22892412938953488,True,True,True
anomaly_lockbox,two_day_positive_sustained_spike,2,CA_1,FOODS_1,2016-04-28,1,328.0,501.4642,284.93511797028964,52.53165857065065,-25.684189124220666,86.73209999999999,1.308716934217284,4.610805707346449,True,True,IF-3,0.6068561657580951,0.41249495536553754,0.19436121039255755,True,False,True
anomaly_lockbox,two_day_positive_sustained_spike,2,CA_1,FOODS_1,2016-04-29,2,387.0,560.4642,347.99429032077285,52.53165857065065,-25.684189124220666,86.73209999999999,1.231445961608948,4.533534734738113,True,True,IF-3,0.590355033567318,0.41121076891530095,0.17914426465201705,True,False,True
anomaly_lockbox,two_day_positive_sustained_spike,4,CA_1,FOODS_1,2016-04-28,1,328.0,674.9284,284.93511797028964,52.53165857065065,-25.684189124220666,86.73209999999999,1.308716934217284,7.9128944804756145,True,True,IF-3,0.6911225240624881,0.41249495536553754,0.27862756869695054,True,True,True
anomaly_lockbox,two_day_positive_sustained_spike,4,CA_1,FOODS_1,2016-04-29,2,387.0,733.9284,347.99429032077285,52.53165857065065,-25.684189124220666,86.73209999999999,1.231445961608948,7.835623507867279,True,True,IF-3,0.6708329024436913,0.41121076891530095,0.25962213352839036,True,True,True
anomaly_lockbox,two_day_negative_sustained_drop,2,CA_1,FOODS_1,2016-04-30,1,455.0,281.5358,375.2980554298477,52.53165857065065,-25.684189124220666,86.73209999999999,2.006145181055677,-1.295943592073488,False,True,IF-3,0.5679170354072623,0.569989313825748,-0.0020722784184856735,False,False,True
anomaly_lockbox,two_day_negative_sustained_drop,2,CA_1,FOODS_1,2016-05-01,2,403.0,229.53580000000002,344.5545284963214,52.53165857065065,-25.684189124220666,86.73209999999999,1.6015039866817071,-1.7005847864474577,False,True,IF-3,0.6311903930899105,0.6040778552465295,0.02711253784338108,True,True,True
anomaly_lockbox,two_day_negative_sustained_drop,4,CA_1,FOODS_1,2016-04-30,1,455.0,108.07160000000005,375.2980554298477,52.53165857065065,-25.684189124220666,86.73209999999999,2.006145181055677,-4.598032365202652,True,True,IF-3,0.6734948192476675,0.569989313825748,0.1035055054219195,True,True,True
