d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_median,prior_residual_mad,prior_robust_scale,anomaly_score,direction,is_statistical_alert,daily_review_rank,is_daily_review_candidate,if_score
d_1914,2016-04-25,CA_1,FOODS_1,CA,294.0,260.00363521935685,33.99636478064315,-25.684189124220666,35.43211828588335,52.53165857065065,1.136087371477116,spike,False,11,False,0.41559618554080774
d_1914,2016-04-25,CA_1,FOODS_2,CA,458.0,475.5651803626266,-17.56518036262662,-1.3018993399340673,43.31974067676376,64.22584752736994,-0.253220185467571,drop,False,56,False,0.40953822848940563
d_1914,2016-04-25,CA_1,FOODS_3,CA,2141.0,1974.3074118796023,166.69258812039743,7.923849203863142,142.77086773808514,211.67208850848505,0.7500693172882353,spike,False,33,False,0.5382051607677591
d_1914,2016-04-25,CA_1,HOBBIES_1,CA,546.0,444.4855268635369,101.51447313646317,17.289827805758932,46.976886497940626,69.64793192184676,1.209291403299875,spike,False,9,False,0.45868499612171804
d_1914,2016-04-25,CA_1,HOBBIES_2,CA,43.0,39.41232543160608,3.587674568393922,-2.920935617483586,8.814043308989756,13.067700609908211,0.4980685110693874,spike,False,44,False,0.4226632684719518
d_1914,2016-04-25,CA_1,HOUSEHOLD_1,CA,780.0,702.1482992986475,77.85170070135246,7.055601395861743,48.47646137804338,71.87120163908712,0.9850412639683528,spike,False,19,False,0.4474663781868161
d_1914,2016-04-25,CA_1,HOUSEHOLD_2,CA,210.0,199.67928242611683,10.320717573883172,-5.473172481554656,17.069525722806446,25.307278836632836,0.6240848791919829,spike,False,39,False,0.4067555152230182
d_1914,2016-04-25,CA_2,FOODS_1,CA,439.0,380.5689789621326,58.431021037867424,-7.615755540324386,39.40764758403104,58.42577830808442,1.1304389687360463,spike,False,12,False,0.4273447704764168
d_1914,2016-04-25,CA_2,FOODS_2,CA,444.0,423.5122368993244,20.48776310067558,-12.024618362151116,29.612275350817725,43.903159435122355,0.7405476480769382,spike,False,34,False,0.4073780566596614
d_1914,2016-04-25,CA_2,FOODS_3,CA,1771.0,1588.6364136877637,182.3635863122363,19.21992394083884,101.77879685519576,150.89724421751322,1.0811573346974543,spike,False,15,False,0.5304481622664348
d_1914,2016-04-25,CA_2,HOBBIES_1,CA,330.0,322.5847927528309,7.415207247169121,-4.7627889331289595,36.89570009761081,54.70156496471779,0.2226261019799492,spike,False,58,False,0.40386880236675143
d_1914,2016-04-25,CA_2,HOBBIES_2,CA,31.0,37.13191348191653,-6.131913481916527,-2.8427111299485546,9.034327122200846,13.394293391374974,-0.2455674409884136,drop,False,57,False,0.41755814182912615
d_1914,2016-04-25,CA_2,HOUSEHOLD_1,CA,667.0,646.5772195304443,20.422780469555732,-3.684327635688476,45.03992774790109,66.77619687903815,0.3610134933097952,spike,False,54,False,0.413848571938878
d_1914,2016-04-25,CA_2,HOUSEHOLD_2,CA,244.0,274.7310085549012,-30.731008554901223,-1.2395743605110283,20.142957831405752,29.863949280842167,-0.987526261749616,drop,False,18,False,0.41990111230097793
d_1914,2016-04-25,CA_3,FOODS_1,CA,451.0,340.95083475321513,110.04916524678488,-24.065913311520916,50.320382425424214,74.60499898393394,1.797668794113746,spike,False,2,True,0.4809711731589161
d_1914,2016-04-25,CA_3,FOODS_2,CA,683.0,625.9540992294839,57.04590077051614,17.66760848163824,64.39833025478615,95.47696443574593,0.4124376232696285,spike,False,49,False,0.4290799949355025
d_1914,2016-04-25,CA_3,FOODS_3,CA,2972.0,2752.0316731533726,219.9683268466274,-83.63718827007233,197.78391267905567,293.23442893796795,1.0353679007485364,spike,False,17,False,0.6031350292132174
d_1914,2016-04-25,CA_3,HOBBIES_1,CA,479.0,498.7344696813722,-19.734469681372214,-22.757896521268464,49.849732808054966,73.90721386122229,0.0409084131567105,spike,False,69,False,0.4095282018281329
d_1914,2016-04-25,CA_3,HOBBIES_2,CA,80.0,53.23693889911833,26.76306110088167,3.648252262186009,10.789659601607411,15.996749325343147,1.4449691227001724,spike,False,5,True,0.4374848762715615
d_1914,2016-04-25,CA_3,HOUSEHOLD_1,CA,1346.0,1391.6891410751236,-45.68914107512364,20.42353241000751,83.62607990773597,123.98402607120934,-0.5332354141102,drop,False,42,False,0.4549044527499205
