block,d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale,prior_sales_mad,prior_sales_robust_scale,anomaly_score,undefined_score_reason,direction,is_statistical_alert,daily_review_rank,is_daily_review_candidate
anomaly_lockbox,d_1914,2016-04-25,CA_1,FOODS_1,CA,294.0,260.00363521935685,33.99636478064315,168,-25.684189124220666,35.43211828588335,52.53165857065065,58.5,86.73209999999999,1.136087371477116,,spike,False,11,False
anomaly_lockbox,d_1914,2016-04-25,CA_1,FOODS_2,CA,458.0,475.5651803626266,-17.56518036262662,168,-1.3018993399340673,43.31974067676376,64.22584752736994,82.0,121.5732,-0.253220185467571,,drop,False,56,False
anomaly_lockbox,d_1914,2016-04-25,CA_1,FOODS_3,CA,2141.0,1974.3074118796026,166.69258812039743,168,7.923849203863142,142.77086773808514,211.67208850848502,302.0,447.74519999999995,0.7500693172882353,,spike,False,33,False
anomaly_lockbox,d_1914,2016-04-25,CA_1,HOBBIES_1,CA,546.0,444.48552686353685,101.51447313646315,168,17.289827805758932,46.976886497940626,69.64793192184676,61.5,91.17989999999999,1.209291403299875,,spike,False,9,False
anomaly_lockbox,d_1914,2016-04-25,CA_1,HOBBIES_2,CA,43.0,39.41232543160608,3.587674568393922,168,-2.920935617483586,8.814043308989756,13.067700609908211,10.0,14.825999999999999,0.4980685110693874,,spike,False,44,False
anomaly_lockbox,d_1914,2016-04-25,CA_1,HOUSEHOLD_1,CA,780.0,702.1482992986475,77.85170070135246,168,7.055601395861743,48.47646137804338,71.87120163908712,106.5,157.8969,0.9850412639683527,,spike,False,19,False
anomaly_lockbox,d_1914,2016-04-25,CA_1,HOUSEHOLD_2,CA,210.0,199.67928242611683,10.320717573883172,168,-5.473172481554656,17.069525722806446,25.307278836632836,36.0,53.373599999999996,0.6240848791919829,,spike,False,39,False
anomaly_lockbox,d_1914,2016-04-25,CA_2,FOODS_1,CA,439.0,380.5689789621326,58.431021037867424,168,-7.615755540324386,39.40764758403104,58.42577830808442,77.5,114.9015,1.1304389687360463,,spike,False,12,False
anomaly_lockbox,d_1914,2016-04-25,CA_2,FOODS_2,CA,444.0,423.5122368993244,20.48776310067558,168,-12.024618362151116,29.612275350817725,43.903159435122355,172.5,255.74849999999998,0.7405476480769382,,spike,False,34,False
anomaly_lockbox,d_1914,2016-04-25,CA_2,FOODS_3,CA,1771.0,1588.6364136877637,182.3635863122363,168,19.21992394083884,101.77879685519576,150.89724421751322,400.0,593.04,1.0811573346974543,,spike,False,15,False
