block,family,magnitude,store_id,dept_id,date,window_position,original_actual_sales,injected_actual_sales,expected_sales,prior_robust_scale,prior_residual_median,prior_sales_robust_scale,score_before,score_after,detected,direction_correct,config,if_score_after,if_score_before,if_score_increase,enters_training_top5pct,enters_training_top2pct
development_2,one_day_positive_spike,2,CA_1,FOODS_1,2015-04-28,1,271.0,466.7032,313.45115173563784,61.50968509725808,-20.717127798047244,97.85159999999999,-0.3533431182947064,2.8283216827940554,False,True,IF-1,0.5492718676553335,0.4238177837462531,0.12545408390908042,False,False
development_2,one_day_positive_spike,4,CA_1,FOODS_1,2015-04-28,1,271.0,662.4064,313.45115173563784,61.50968509725808,-20.717127798047244,97.85159999999999,-0.3533431182947064,6.009986483882817,True,True,IF-1,0.656630866198617,0.4238177837462531,0.23281308245236387,True,True
development_2,one_day_negative_drop,2,CA_1,FOODS_1,2015-04-29,1,292.0,96.29680000000002,313.45115173563784,61.50968509725808,-20.717127798047244,97.85159999999999,-0.011933469280975282,-3.193598270369737,True,True,IF-1,0.6103064837744384,0.4292778638704823,0.18102861990395613,True,False
development_2,one_day_negative_drop,4,CA_1,FOODS_1,2015-04-29,1,292.0,0.0,313.45115173563784,61.50968509725808,-20.717127798047244,97.85159999999999,-0.011933469280975282,-4.759153350805234,True,True,IF-1,0.6526470181991711,0.4292778638704823,0.22336915432868887,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-04-30,1,303.0,498.7032,319.7210394757289,61.50968509725808,-20.717127798047244,97.85159999999999,0.06496681483574164,3.2466316159245032,True,True,IF-1,0.5729732360633047,0.41566300411246354,0.1573102319508412,False,False
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-01,2,474.0,669.7031999999999,414.4350668799792,61.50968509725808,-20.717127798047244,97.85159999999999,1.3051938209588854,4.486858622047645,True,True,IF-1,0.6351324499178265,0.4658257518966606,0.16930669802116588,True,False
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-04-30,1,303.0,694.4064,319.7210394757289,61.50968509725808,-20.717127798047244,97.85159999999999,0.06496681483574164,6.428296417013264,True,True,IF-1,0.657187471999078,0.41566300411246354,0.24152446788661447,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-01,2,474.0,865.4064,414.4350668799792,61.50968509725808,-20.717127798047244,97.85159999999999,1.3051938209588854,7.668523423136408,True,True,IF-1,0.6845466087680122,0.4658257518966606,0.21872085687135162,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-02,1,479.0,283.2968,499.4429858464023,61.50968509725808,-20.717127798047244,97.85159999999999,0.004456890832906969,-3.1772079102558544,True,True,IF-1,0.622221575073434,0.4665012502991579,0.1557203247742761,True,False
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-03,2,535.0,339.2968,457.16961672863306,61.50968509725808,-20.717127798047244,97.85159999999999,1.6021462459707365,-1.579518555118025,False,True,IF-1,0.5338732310214842,0.4659531099506986,0.0679201210707856,False,False
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-02,1,479.0,87.59360000000004,499.4429858464023,61.50968509725808,-20.717127798047244,97.85159999999999,0.004456890832906969,-6.358872711344616,True,True,IF-1,0.6822556245202028,0.4665012502991579,0.21575437422104493,True,True
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-03,2,535.0,143.59360000000004,457.16961672863306,61.50968509725808,-20.717127798047244,97.85159999999999,1.6021462459707365,-4.761183356206786,True,True,IF-1,0.6566121655789408,0.4659531099506986,0.19065905562824215,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-04,1,327.0,522.7031999999999,347.84859959093035,61.50968509725808,-20.717127798047244,97.85159999999999,-0.0021374161268298384,3.1795273849619305,True,True,IF-1,0.5900510373833845,0.4425528518076736,0.14749818557571087,False,False
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-05,2,360.0,555.7031999999999,315.79637108224614,61.50968509725808,-20.717127798047244,97.85159999999999,1.0554558459070225,4.237120646995782,True,True,IF-1,0.6684620723309528,0.5476408930687783,0.1208211792621745,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-06,3,372.0,567.7031999999999,335.1046428490061,61.50968509725808,-20.717127798047244,97.85159999999999,0.9366408697743331,4.118305670863093,True,True,IF-1,0.6289636532298052,0.4687166945814533,0.16024695864835187,True,False
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-04,1,327.0,718.4064,347.84859959093035,61.50968509725808,-20.717127798047244,97.85159999999999,-0.0021374161268298384,6.361192186050694,True,True,IF-1,0.669835083951109,0.4425528518076736,0.2272822321434354,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-05,2,360.0,751.4064,315.79637108224614,61.50968509725808,-20.717127798047244,97.85159999999999,1.0554558459070225,7.418785448084545,True,True,IF-1,0.7115195029877464,0.5476408930687783,0.16387860991896808,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-06,3,372.0,763.4064,335.1046428490061,61.50968509725808,-20.717127798047244,97.85159999999999,0.9366408697743331,7.2999704719518554,True,True,IF-1,0.6895473196703887,0.4687166945814533,0.22083062508893542,True,True
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-07,1,379.0,183.29680000000002,335.58201506080104,61.50968509725808,-20.717127798047244,97.85159999999999,1.0426831585275855,-2.138981642561176,False,True,IF-1,0.5894263283963483,0.4499178278395649,0.13950850055678343,False,False
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-08,2,425.0,229.29680000000002,382.4485096966208,61.50968509725808,-20.717127798047244,97.85159999999999,1.0285960333138944,-2.153068767774867,False,True,IF-1,0.5882634361761422,0.456670675756029,0.1315927604201132,False,False
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-09,3,485.0,289.2968,468.94101954550183,61.50968509725808,-20.717127798047244,97.85159999999999,0.5978913433615478,-2.583773457727214,False,True,IF-1,0.602868652910555,0.46259408996781426,0.14027456294274077,True,False
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-07,1,379.0,0.0,335.58201506080104,61.50968509725808,-20.717127798047244,97.85159999999999,1.0426831585275855,-5.118948126053559,True,True,IF-1,0.667632438166368,0.4499178278395649,0.21771461032680306,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-08,2,425.0,33.59360000000004,382.4485096966208,61.50968509725808,-20.717127798047244,97.85159999999999,1.0285960333138944,-5.334733568863628,True,True,IF-1,0.6635908485612466,0.456670675756029,0.20692017280521763,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-09,3,485.0,93.59360000000004,468.94101954550183,61.50968509725808,-20.717127798047244,97.85159999999999,0.5978913433615478,-5.7654382588159745,True,True,IF-1,0.674378689930401,0.46259408996781426,0.2117845999625867,True,True
development_2,one_day_positive_spike,2,CA_1,FOODS_2,2015-05-10,1,593.0,803.5292,510.7858478389492,45.4405792447987,-13.942145869448836,105.26459999999999,2.1160887389327465,6.749154679087942,True,True,IF-1,0.6829607582629299,0.5789477379316595,0.10401302033127036,True,True
development_2,one_day_positive_spike,4,CA_1,FOODS_2,2015-05-10,1,593.0,1014.0583999999999,510.7858478389492,45.4405792447987,-13.942145869448836,105.26459999999999,2.1160887389327465,11.382220619243137,True,True,IF-1,0.7212470002817141,0.5789477379316595,0.14229926235005452,True,True
development_2,one_day_negative_drop,2,CA_1,FOODS_2,2015-05-11,1,526.0,315.47080000000005,479.4952958896661,45.4405792447987,-13.942145869448836,105.26459999999999,1.3302394244171454,-3.30282651573805,True,True,IF-1,0.5838189253260536,0.4611447537690774,0.12267417155697624,False,False
development_2,one_day_negative_drop,4,CA_1,FOODS_2,2015-05-11,1,526.0,104.94160000000005,479.4952958896661,45.4405792447987,-13.942145869448836,105.26459999999999,1.3302394244171454,-7.935892455893247,True,True,IF-1,0.669540533507599,0.4611447537690774,0.20839577973852164,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-12,1,399.0,609.5292,419.8288871490719,45.4405792447987,-13.942145869448836,105.26459999999999,-0.15155487438931187,4.481511065765884,True,True,IF-1,0.5910019456731694,0.4160198621876083,0.17498208348556116,False,False
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-13,2,410.0,620.5292,418.2607633835133,45.4405792447987,-13.942145869448836,105.26459999999999,0.12502883062578632,4.758094770780982,True,True,IF-1,0.5967864028534788,0.43773979555573445,0.1590466072977444,True,False
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-12,1,399.0,820.0583999999999,419.8288871490719,45.4405792447987,-13.942145869448836,105.26459999999999,-0.15155487438931187,9.11457700592108,True,True,IF-1,0.6648221591199948,0.4160198621876083,0.24880229693238648,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-13,2,410.0,831.0583999999999,418.2607633835133,45.4405792447987,-13.942145869448836,105.26459999999999,0.12502883062578632,9.391160710936177,True,True,IF-1,0.6737789224147669,0.43773979555573445,0.23603912685903244,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-14,1,357.0,146.47080000000003,416.8759944699988,45.4405792447987,-13.942145869448836,105.26459999999999,-1.0108552611773265,-5.643921201332521,True,True,IF-1,0.6325041551902832,0.450315115347693,0.18218903984259027,True,False
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-15,2,453.0,242.47080000000003,455.3167332445829,45.4405792447987,-13.942145869448836,105.26459999999999,0.25583768556816266,-4.377228254587035,True,True,IF-1,0.6011881889730623,0.4230600170099544,0.17812817196310787,True,False
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-14,1,357.0,0.0,416.8759944699988,45.4405792447987,-13.942145869448836,105.26459999999999,-1.0108552611773265,-8.867269196324589,True,True,IF-1,0.6739293156167792,0.450315115347693,0.22361420026908618,True,True
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-15,2,453.0,31.94160000000005,455.3167332445829,45.4405792447987,-13.942145869448836,105.26459999999999,0.25583768556816266,-9.010294194742231,True,True,IF-1,0.6726278948900716,0.4230600170099544,0.2495678778801172,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-16,1,621.0,831.5292,587.0456515884936,45.4405792447987,-13.942145869448836,105.26459999999999,1.05404673701288,5.687112677168075,True,True,IF-1,0.6052372028071126,0.43428954322919905,0.17094765957791352,True,False
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-17,2,595.0,805.5292,622.1564590217845,45.4405792447987,-13.942145869448836,105.26459999999999,-0.2908042408778979,4.342261699277298,True,True,IF-1,0.5871764664784748,0.4375333009620951,0.14964316551637968,False,False
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-18,3,477.0,687.5292,465.3153580088832,45.4405792447987,-13.942145869448836,105.26459999999999,0.5639626141759398,5.197028554331135,True,True,IF-1,0.6191124825675612,0.4471426010160772,0.17196988155148402,True,False
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-16,1,621.0,1042.0584,587.0456515884936,45.4405792447987,-13.942145869448836,105.26459999999999,1.05404673701288,10.320178617323272,True,True,IF-1,0.6698723140534927,0.43428954322919905,0.23558277082429363,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-17,2,595.0,1016.0583999999999,622.1564590217845,45.4405792447987,-13.942145869448836,105.26459999999999,-0.2908042408778979,8.975327639432493,True,True,IF-1,0.6590592543194148,0.4375333009620951,0.22152595335731973,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-18,3,477.0,898.0583999999999,465.3153580088832,45.4405792447987,-13.942145869448836,105.26459999999999,0.5639626141759398,9.830094494486332,True,True,IF-1,0.6825613995029299,0.4471426010160772,0.2354187984868527,True,True
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-19,1,409.0,198.47080000000003,398.87080004693274,45.4405792447987,-13.942145869448836,105.26459999999999,0.5297323718704883,-4.103333568284708,True,True,IF-1,0.5915488023653203,0.41905497120639934,0.17249383115892092,False,False
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-20,2,338.0,127.47080000000003,397.3014336297675,45.4405792447987,-13.942145869448836,105.26459999999999,-0.9982110376709301,-5.6312769778261265,True,True,IF-1,0.6382411938350372,0.46556384611354695,0.17267734772149024,True,False
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-21,3,378.0,167.47080000000003,395.916664716253,45.4405792447987,-13.942145869448836,105.26459999999999,-0.08746628922559621,-4.720532229380792,True,True,IF-1,0.6163139251048045,0.4183715106442869,0.19794241446051763,True,False
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-19,1,409.0,0.0,398.87080004693274,45.4405792447987,-13.942145869448836,105.26459999999999,0.5297323718704883,-8.471033172878057,True,True,IF-1,0.6699782759485877,0.41905497120639934,0.2509233047421884,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-20,2,338.0,0.0,397.3014336297675,45.4405792447987,-13.942145869448836,105.26459999999999,-0.9982110376709301,-8.436496500079263,True,True,IF-1,0.6731749543478882,0.46556384611354695,0.20761110823434126,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-21,3,378.0,0.0,395.916664716253,45.4405792447987,-13.942145869448836,105.26459999999999,-0.08746628922559621,-8.406022220557993,True,True,IF-1,0.6704241127631951,0.4183715106442869,0.25205260211890823,True,True
development_2,one_day_positive_spike,2,CA_1,FOODS_3,2015-04-28,1,1706.0,2505.1214,1655.2480999601828,154.1242798603323,-167.18760428338533,399.5607,1.414050430734857,6.598966141122378,True,True,IF-1,0.6937929957746553,0.4979775311376826,0.19581546463697264,True,True
development_2,one_day_positive_spike,4,CA_1,FOODS_3,2015-04-28,1,1706.0,3304.2428,1655.2480999601828,154.1242798603323,-167.18760428338533,399.5607,1.414050430734857,11.783881851509898,True,True,IF-1,0.6937929957746553,0.4979775311376826,0.19581546463697264,True,True
