block,d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale,prior_sales_mad,prior_sales_robust_scale,anomaly_score,undefined_score_reason,direction
development_2,d_1550,2015-04-27,CA_1,FOODS_1,CA,329.0,319.58525671736436,9.41474328263564,28,-20.717127798047244,41.48771421641581,61.50968509725808,66.0,97.85159999999999,0.48987197760871115,,spike
development_2,d_1550,2015-04-27,CA_1,FOODS_2,CA,449.0,415.3911398563269,33.608860143673155,28,-13.942145869448836,30.649250805880683,45.4405792447987,71.0,105.26459999999999,1.046443659024546,,spike
development_2,d_1550,2015-04-27,CA_1,FOODS_3,CA,1934.0,1889.169878252684,44.83012174731607,28,-167.18760428338533,103.95540257677885,154.1242798603323,269.5,399.5607,1.375628332037186,,spike
development_2,d_1550,2015-04-27,CA_1,HOBBIES_1,CA,406.0,433.20326784950805,-27.20326784950805,28,20.554133150188306,54.70478309691356,81.10531141948404,62.0,91.9212,-0.5888319786196337,,drop
development_2,d_1550,2015-04-27,CA_1,HOBBIES_2,CA,53.0,46.83018738733728,6.169812612662724,28,-9.047656642867008,7.308098933127763,10.83498747825522,6.0,8.8956,1.4044750200283787,,spike
development_2,d_1550,2015-04-27,CA_1,HOUSEHOLD_1,CA,653.0,648.7106243138422,4.2893756861577685,28,23.239631355876327,60.37177763659383,89.50719752401402,109.5,162.3447,-0.21171767404106653,,drop
development_2,d_1550,2015-04-27,CA_1,HOUSEHOLD_2,CA,171.0,203.23693858786075,-32.23693858786075,28,21.430435968650087,21.26068903164858,31.521097558322186,25.0,37.065,-1.7025858461055268,,drop
development_2,d_1550,2015-04-27,CA_2,FOODS_1,CA,315.0,243.75963952468447,71.24036047531553,28,-30.39576318826235,39.23244004806281,58.166015615257926,44.5,65.9757,1.7473454660510905,,spike
development_2,d_1550,2015-04-27,CA_2,FOODS_2,CA,158.0,98.51320604481916,59.48679395518084,28,-28.259439582196656,10.547995151364464,15.638457611412955,13.5,20.0151,5.610926327756277,,spike
development_2,d_1550,2015-04-27,CA_2,FOODS_3,CA,829.0,776.1478121231859,52.85218787681413,28,-157.65738568322234,104.9622434445937,155.6170221309546,129.0,191.25539999999998,1.3527413047583494,,spike
development_2,d_1550,2015-04-27,CA_2,HOBBIES_1,CA,265.0,244.16153326251865,20.838466737481355,28,-10.451016440191452,38.98718355343168,57.8023983363178,51.5,76.3539,0.5413180781118787,,spike
development_2,d_1550,2015-04-27,CA_2,HOBBIES_2,CA,23.0,34.12678821781318,-11.12678821781318,28,-4.8853872111578305,8.055895542915096,11.94367073192592,6.5,9.636899999999999,-0.5225697481739705,,drop
development_2,d_1550,2015-04-27,CA_2,HOUSEHOLD_1,CA,410.0,456.8087761472976,-46.80877614729758,28,-2.2001587125875517,55.36689839998965,82.08696356782465,69.0,102.29939999999999,-0.5434312038823558,,drop
development_2,d_1550,2015-04-27,CA_2,HOUSEHOLD_2,CA,257.0,248.3583386472162,8.641661352783785,28,-3.221650072320074,19.47226127303783,28.869574563405884,25.0,37.065,0.4109278229593795,,spike
development_2,d_1550,2015-04-27,CA_3,FOODS_1,CA,354.0,357.89556277162177,-3.895562771621769,28,-83.78958330077154,57.833263441129475,85.74359637781855,64.5,95.62769999999999,0.9317782773783672,,spike
development_2,d_1550,2015-04-27,CA_3,FOODS_2,CA,737.0,566.0529121106238,170.94708788937623,28,-17.860305374942016,38.039923491925606,56.3979905691289,100.0,148.26,3.3477680917175716,,spike
development_2,d_1550,2015-04-27,CA_3,FOODS_3,CA,2725.0,2606.6203161376807,118.37968386231933,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,0.941039868277756,,spike
development_2,d_1550,2015-04-27,CA_3,HOBBIES_1,CA,449.0,528.5310351813921,-79.5310351813921,28,-18.722542189764454,49.017892025299375,72.67392671670885,54.0,80.0604,-0.8367305268733586,,drop
development_2,d_1550,2015-04-27,CA_3,HOBBIES_2,CA,95.0,53.908402076387205,41.091597923612795,28,-2.657450566893786,10.607694323190213,15.726967603561809,9.5,14.0847,2.7817853761330564,,spike
development_2,d_1550,2015-04-27,CA_3,HOUSEHOLD_1,CA,1217.0,1345.245072450955,-128.24507245095492,28,50.16081232165277,114.31163811440103,169.47843466841096,163.0,241.66379999999998,-1.05267602407152,,drop
development_2,d_1550,2015-04-27,CA_3,HOUSEHOLD_2,CA,332.0,289.8605700819921,42.13942991800792,28,23.85857470850374,24.10115208162597,35.73236807621866,33.0,48.925799999999995,0.5116049171583126,,spike
development_2,d_1550,2015-04-27,CA_4,FOODS_1,CA,203.0,182.3296422186293,20.67035778137074,28,-6.928145338765347,30.82818216131814,45.70586287237027,29.0,42.9954,0.6038285109549854,,spike
development_2,d_1550,2015-04-27,CA_4,FOODS_2,CA,368.0,284.833441730912,83.166558269088,28,-15.91581970869052,22.52802542879496,33.40005050073141,38.0,56.3388,2.9665337774147607,,spike
development_2,d_1550,2015-04-27,CA_4,FOODS_3,CA,1120.0,1017.4484796982211,102.55152030177874,28,-40.481476516835244,79.39013922290422,117.7038204118778,94.5,140.10569999999998,1.2151941739707555,,spike
development_2,d_1550,2015-04-27,CA_4,HOBBIES_1,CA,438.0,304.66557481517793,133.33442518482207,28,27.01641873204835,26.092724663536842,38.68507358615972,24.0,35.5824,2.748295313849704,,spike
development_2,d_1550,2015-04-27,CA_4,HOBBIES_2,CA,16.0,21.13447514322356,-5.134475143223561,28,-6.67517811325286,3.0250125967028314,4.484883675871617,3.0,4.4478,0.3435324261180242,,spike
development_2,d_1550,2015-04-27,CA_4,HOUSEHOLD_1,CA,336.0,325.5645138707099,10.435486129290098,28,9.72591958600205,30.612385472519065,45.385922701556765,32.0,47.4432,0.015634066711696697,,spike
development_2,d_1550,2015-04-27,CA_4,HOUSEHOLD_2,CA,131.0,120.90094985438144,10.099050145618564,28,-14.919841156347985,9.086825999543557,13.472128226923276,14.5,21.4977,1.857085300893123,,spike
development_2,d_1550,2015-04-27,TX_1,FOODS_1,TX,229.0,199.50102329842005,29.49897670157995,28,-4.352275380507564,30.029590495682342,44.52187086889864,41.5,61.527899999999995,0.7603286075234266,,spike
development_2,d_1550,2015-04-27,TX_1,FOODS_2,TX,352.0,282.3867328034571,69.61326719654289,28,-20.489484142168124,25.750504290604,38.17769766124949,41.5,61.527899999999995,2.3600886606152174,,spike
development_2,d_1550,2015-04-27,TX_1,FOODS_3,TX,1135.0,1240.833095123158,-105.83309512315805,28,-72.93771970686998,123.08193494541376,182.48127675007044,223.5,331.36109999999996,-0.18026712659042904,,drop
development_2,d_1550,2015-04-27,TX_1,HOBBIES_1,TX,249.0,226.04949913565457,22.95050086434543,28,28.205441411715185,29.0598347123573,43.08411094454093,37.5,55.5975,-0.12196933932637166,,drop
development_2,d_1550,2015-04-27,TX_1,HOBBIES_2,TX,28.0,28.36907993562228,-0.3690799356222776,28,-8.732399350168738,6.1744769619827515,9.154279543835626,5.5,8.1543,0.9135966816938873,,spike
development_2,d_1550,2015-04-27,TX_1,HOUSEHOLD_1,TX,652.0,625.4287683912993,26.57123160870071,28,71.0564213223717,49.39437244698296,73.23209658989694,113.5,168.27509999999998,-0.6074548153767886,,drop
development_2,d_1550,2015-04-27,TX_1,HOUSEHOLD_2,TX,134.0,137.40570319453715,-3.4057031945371534,28,-2.5510456402876542,15.913948891513996,23.59402062655865,23.5,34.8411,-0.03622348084613661,,drop
